idx,time_utc,site,obs_ra,obs_dec,pred_ra,pred_dec,pred_ra_b,pred_dec_b,km_diff_forward_inverse,ra_500,dec_500,ra_back_site,dec_back_site,sep_back_arcsec,inv_iters,inv_from_500_iters,predict_debug
0,2018-04-03T11:44:59.712,C51,131.12329166666663,30.912916666666664,131.1228549409554,30.91315578765021,,,0.0,131.12568670531704,30.913646674996507,131.12568670531704,30.913646674996507,8.922924692135954,4,4,"{""iterations"": 3, ""tau_s"": 1007.9409520171422, ""obj_bary_km"": [-315804372.2504393, 164342871.16128692, 141804161.6688306], ""r_topo_km"": [-170501455.08743718, 195292176.04752082, 155237880.50298813], ""unit_topovec"": [-0.5642509459731346, 0.646292402721464, 0.5137382603553481]}"
1,2018-04-03T14:53:30.336,C51,131.13595833333332,30.903527777777775,131.13588223135724,30.90347321935788,,,0.0,131.13870196987,30.903967121404225,131.13870196987,30.903967121404225,8.889548198901657,4,4,"{""iterations"": 3, ""tau_s"": 1008.6895854044147, ""obj_bary_km"": [-315919826.1234659, 164167291.4750846, 141744876.37463823], ""r_topo_km"": [-170689792.91381142, 195418195.96207047, 155309335.3100136], ""unit_topovec"": [-0.5644549832299955, 0.6462294706766917, 0.5135932662484473]}"
2,2018-04-03T18:02:00.096,C51,131.14941666666664,30.893666666666665,131.14902322073294,30.893760593233377,,,0.0,131.15183093636168,30.89425750311851,131.15183093636168,30.89425750311851,8.856206742236477,4,4,"{""iterations"": 3, ""tau_s"": 1009.4387889166371, ""obj_bary_km"": [-316035175.55568594, 163991675.79087168, 141685552.83145666], ""r_topo_km"": [-170878755.7958714, 195543996.79441175, 155380672.11237213], ""unit_topovec"": [-0.564660464421046, 0.6461655431092963, 0.5134478072969801]}"
3,2018-04-03T21:10:29.856,C51,131.1620833333333,30.884166666666665,131.16227870237023,30.88401724815356,,,0.0,131.165074397192,30.884517159278722,131.165074397192,30.884517159278722,8.822898112918617,4,4,"{""iterations"": 3, ""tau_s"": 1010.1886162990025, ""obj_bary_km"": [-316150429.323369, 163816010.7670007, 141626186.53509268], ""r_topo_km"": [-171068357.69112813, 195669586.79367405, 155451895.76824355], ""unit_topovec"": [-0.5648674019673975, 0.64610061514555, 0.5133018734654536]}"
4,2018-04-03T22:44:45.600,C51,131.16954166666662,30.878972222222224,131.16895034118656,30.879133333043566,,,0.0,131.17174002547597,30.87963474255275,131.17174002547597,30.87963474255275,8.806253676581443,4,4,"{""iterations"": 3, ""tau_s"": 1010.5638202683074, ""obj_bary_km"": [-316208029.1254695, 163728146.3359259, 141596482.81815195], ""r_topo_km"": [-171163412.68439892, 195732311.8609434, 155487470.40465125], ""unit_topovec"": [-0.5649714318654342, 0.6460677709102973, 0.5132287175976427]}"
5,2018-04-04T00:19:00.480,C51,131.1758333333333,30.87441666666667,131.175649513616,30.874242512379848,,,0.0,131.17843318882288,30.87474541840609,131.17843318882288,30.87474541840609,8.789620122618686,4,4,"{""iterations"": 3, ""tau_s"": 1010.9391216284897, ""obj_bary_km"": [-316265596.19703954, 163640283.01103315, 141566772.95623082], ""r_topo_km"": [-171258612.77325282, 195794974.1070014, 155523011.0886645], ""unit_topovec"": [-0.5650758088396935, 0.6460346815184542, 0.5131554545549676]}"
6,2018-04-04T01:53:15.360,C51,131.18270833333332,30.869555555555557,131.1823772103586,30.86934405036803,,,0.0,131.18515487701868,30.86984845127731,131.18515487701868,30.86984845127731,8.77299495264407,4,4,"{""iterations"": 3, ""tau_s"": 1011.3145772898063, ""obj_bary_km"": [-316323139.32912076, 163552407.38565946, 141537052.4174916], ""r_topo_km"": [-171353972.41103554, 195857582.95084915, 155558523.18349954], ""unit_topovec"": [-0.5651805483458742, 0.6460013419725628, 0.513082073299297]}"
7,2018-04-04T03:27:19.008,C51,131.18954166666666,30.864583333333336,131.18911996326634,30.864447708429342,,,0.0,131.19189163385283,30.864953599627036,131.19189163385283,30.864953599627036,8.756411209869436,4,4,"{""iterations"": 3, ""tau_s"": 1011.6894406454612, ""obj_bary_km"": [-316380544.3031998, 163464694.03107175, 141507380.26329058], ""r_topo_km"": [-171449301.6743924, 195920014.00478527, 155593936.15728858], ""unit_topovec"": [-0.5652854409279487, 0.6459678191844547, 0.513008720055492]}"
8,2018-04-04T03:27:30.240,C51,131.18895833333332,30.864305555555557,131.18913340999924,30.864437956239378,,,0.0,131.19190506865277,30.864943850401463,131.19190506865277,30.864943850401463,8.756378212912866,4,4,"{""iterations"": 3, ""tau_s"": 1011.6901868600991, ""obj_bary_km"": [-316380658.5243439, 163464519.45549744, 141507321.20043784], ""r_topo_km"": [-171449491.55468792, 195920138.20580748, 155594006.60907513], ""unit_topovec"": [-0.5652856500330086, 0.6459677522280673, 0.5130085739519146]}"
9,2018-04-04T05:01:34.752,C51,131.1965833333333,30.859527777777778,131.19590562449082,30.85953325538447,,,0.0,131.19867128669665,30.86004063843951,131.19867128669665,30.86004063843951,8.739800393112109,4,4,"{""iterations"": 3, ""tau_s"": 1012.065260799488, ""obj_bary_km"": [-316438048.38901126, 163376780.39359665, 141477633.8454511], ""r_topo_km"": [-171544994.5891921, 195982525.14485472, 155629396.3083833], ""unit_topovec"": [-0.565390919842414, 0.6459339745239622, 0.5129350917176814]}"
